YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,F,3,F_M
YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,E,5,C_M
YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,E,2,C_M
YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,F,3,F_M
YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,F,2,F_M
NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,D,4,D_m
NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,D,2,D_m
YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,A,3,F_M
YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,A,2,F_M
NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,Bb,5,BbM
NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,Bb,1,BbM
YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,C,2,BbM
YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,C,1,BbM
NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,D,3,BbM
NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,E,2,BbM
YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,F,4,F_M
YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,F,3,F_M
NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,Bb,5,BbM
NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,Bb,2,BbM
NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,Bb,1,BbM
NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,A,3,C_M7
YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,G,2,C_M7
NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,G,1,C_M7
YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,A,4,F_M
NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,B,2,F_M
YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,C,3,C_M
YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,C,2,C_M
YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,F,5,D_m7
NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,YES,F,2,D_m7
NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,F,1,D_m7
NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,G,3,G_M
YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,C,4,C_M
YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,F,3,F_M
NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,F,2,F_M
NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,Bb,5,BbM
NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,Bb,2,BbM
YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,C,3,A_m
YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,C,2,A_m
NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,D,4,C_M7
YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,E,2,C_M7
YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,F,3,F_M
